date,amount,type,raw_description,source_type,source_name,merchant,subscription_flag
2024-01-02,450,debit,UPI/SWIGGY/ORDER123456,UPI,PhonePe,Swiggy,
2024-01-03,1200,debit,UPI/AMAZON/PAY987654,UPI,Google Pay,Amazon Pay,
2024-01-04,85000,credit,NEFT/SALARY CREDIT,BANK_TRANSFER,HDFC Bank,Employer,
2024-01-05,320,debit,UPI/ZOMATO/FOOD456,UPI,PhonePe,Zomato,
2024-01-06,180,debit,UPI/OLA CABS/RIDE789,UPI,Google Pay,Ola,
2024-01-08,649,debit,UPI/NETFLIX/SUBSCRIPTION,SUBSCRIPTION,Amazon Pay,Netflix,true
2024-01-10,850,debit,UPI/APOLLO PHARMACY/MED123,UPI,PhonePe,Apollo Pharmacy,
2024-01-11,2100,debit,UPI/BIGBASKET/GROCERIES,UPI,Google Pay,BigBasket,
2024-01-12,399,debit,UPI/PAYTM/RECHARGE,UPI,Paytm,Jio,
2024-01-13,650,debit,UPI/BLINKIT/QUICK456,UPI,PhonePe,Blinkit,
2024-01-15,2499,debit,UPI/MYNTRA/ORDER789,UPI,Google Pay,Myntra,
2024-01-16,95,debit,UPI/RAPIDO/RIDE123,UPI,PhonePe,Rapido,
2024-01-18,119,debit,UPI/SPOTIFY/PREMIUM789,SUBSCRIPTION,Google Pay,Spotify,true
2024-01-22,1800,debit,UPI/FLIPKART/ORDER123,UPI,PhonePe,Flipkart,
2024-01-23,220,debit,UPI/UBER/RIDE456,UPI,Google Pay,Uber,
2024-01-25,299,debit,UPI/HOTSTAR/SUBSCRIPTION,SUBSCRIPTION,Amazon Pay,Disney+ Hotstar,true
2024-01-28,650,debit,UPI/1MG/MEDICINES123,UPI,PhonePe,1mg,
2024-02-02,649,debit,UPI/NETFLIX/SUBSCRIPTION,SUBSCRIPTION,Amazon Pay,Netflix,true
2024-02-05,119,debit,UPI/SPOTIFY/PREMIUM789,SUBSCRIPTION,Google Pay,Spotify,true
2024-02-08,299,debit,UPI/HOTSTAR/SUBSCRIPTION,SUBSCRIPTION,Amazon Pay,Disney+ Hotstar,true
2024-02-10,450,debit,UPI/SWIGGY/ORDER789,UPI,PhonePe,Swiggy,
2024-02-15,3200,debit,POS/DMART/GROCERIES,CARD,HDFC Bank,D Mart,
2024-02-20,85000,credit,NEFT/SALARY CREDIT,BANK_TRANSFER,HDFC Bank,Employer,
